tilaaja_taso_0	tilaaja_taso_1	tilaaja_taso_2	tilaaja_taso_3	VSSHP_boolean	custorg0	custorg1	custorg2	custorg3
Turunmaan ova	Turunmaan sairaala (TMS )	ÅDAG/SIL-dagavdelning/silmät.	ÅDAG/SIL-dagavdelning/silmät.	1	TMSova      	TMS         	+D/SIL      	+D/SIL      
Turunmaan sairaala	Turunmaan sairaala (TMS )	TMS/sisätaudit	ÅDAG/SIS-dagavdelning/sisät.	1	TMS         	TMS         	TMSSIS      	+D/SIS      
Turunmaan ova	Turunmaan sairaala (TMS )	ÅDAG/SIS-dagavdelning/sisät.	ÅDAG/SIS-dagavdelning/sisät.	1	TMSova      	TMS         	+D/SIS      	+D/SIS      
Turunmaan sairaala	Turunmaan sairaala (TMS )	TMS/naistentaudit	ÅGYN-naistentautien pkl, TMS	1	TMS         	TMS         	TMSNAI      	+GYN        
Turunmaan ova	Turunmaan sairaala (TMS )	ÅGYN-naistentautien pkl, TMS	ÅGYN-naistentautien pkl, TMS	1	TMSova      	TMS         	+GYN        	+GYN        
Turunmaan sairaala	Turunmaan sairaala (TMS )	TMS/naistentaudit	ÅGYN/1-gynekologin vo, TMS	1	TMS         	TMS         	TMSNAI      	+GYN/1      
Turunmaan ova	Turunmaan sairaala (TMS )	ÅGYN/1-gynekologin vo, TMS	ÅGYN/1-gynekologin vo, TMS	1	TMSova      	TMS         	+GYN/1      	+GYN/1      
Turunmaan ova	Turunmaan sairaala (TMS )	ÅIHO/1-ihotautil. vo, TMS	ÅIHO/1-ihotautil. vo, TMS	1	TMSova      	TMS         	+IHO/1      	+IHO/1      
Turunmaan ova	Turunmaan sairaala (TMS )	ÅIMA-sisätautien os, TMS	ÅIMA-sisätautien os, TMS	1	TMSova      	TMS         	+IMA        	+IMA        
Turunmaan sairaala	Turunmaan sairaala (TMS )	TMS/sisätaudit	ÅIMA-sisätautien os, TMS	1	TMS         	TMS         	TMSSIS      	+IMA        
Sairaala/ulkopuolinen	Sairaala/ulkopuolinen	Sairaala/ulkopuolinen	Åkers sjukhus	0	SAIRUL      	SAIRUL      	SAIRUL      	+KERS       
Turunmaan ova	Turunmaan sairaala (TMS )	ÅKEU-keuhkotautien pkl, TMS	ÅKEU-keuhkotautien pkl, TMS	1	TMSova      	TMS         	+KEU        	+KEU        
Turunmaan sairaala	Turunmaan sairaala (TMS )	TMS/keuhkotaudit	ÅKEU-keuhkotautien pkl, TMS	1	TMS         	TMS         	TMSKEU      	+KEU        
Turunmaan sairaala	Turunmaan sairaala (TMS )	TMS/keuhkotaudit	ÅKEU/1-keuhkolääkärin vo, TMS	1	TMS         	TMS         	TMSKEU      	+KEU/1      
Turunmaan ova	Turunmaan sairaala (TMS )	ÅKEU-keuhkotautien pkl, TMS	ÅKEU/1-keuhkolääkärin vo, TMS	1	TMSova      	TMS         	+KEU        	+KEU/1      
Turunmaan ova	Turunmaan sairaala (TMS )	ÅKIR-kirurgian pkl, TMS	ÅKIR-kirurgian pkl, TMS	1	TMSova      	TMS         	+KIR        	+KIR        
Turunmaan sairaala	Turunmaan sairaala (TMS )	TMS/kirurgia	ÅKIR-kirurgian pkl, TMS	1	TMS         	TMS         	TMSKIR      	+KIR        
Turunmaan ova	Turunmaan sairaala (TMS )	ÅKIR/1-Kirurgin vo, TMS	ÅKIR/1-Kirurgin vo, TMS	1	TMSova      	TMS         	+KIR/1      	+KIR/1      
Turunmaan sairaala	Turunmaan sairaala (TMS )	TMS/kirurgia	ÅKIR/1-Kirurgin vo, TMS	1	TMS         	TMS         	TMSKIR      	+KIR/1      
Turunmaan sairaala	Turunmaan sairaala (TMS )	TMS/kirurgia	ÅKIR/2-Kirurgin vo, TMS	1	TMS         	TMS         	TMSKIR      	+KIR/2      
Turunmaan ova	Turunmaan sairaala (TMS )	ÅKIR/2-Kirurgin vo, TMS	ÅKIR/2-Kirurgin vo, TMS	1	TMSova      	TMS         	+KIR/2      	+KIR/2      
Turunmaan ova	Turunmaan sairaala (TMS )	ÅKIR/3-Kirurgin vo, TMS	ÅKIR/3-Kirurgin vo, TMS	1	TMSova      	TMS         	+KIR/3      	+KIR/3      
Turunmaan sairaala	Turunmaan sairaala (TMS )	TMS/kirurgia	ÅKIR/3-Kirurgin vo, TMS	1	TMS         	TMS         	TMSKIR      	+KIR/3      
Turunmaan sairaala	Turunmaan sairaala (TMS )	TMS/kirurgia	TMS,kirurgin vastaanotto 4	1	TMS         	TMS         	TMSKIR      	+KIR/4      
Turunmaan ova	Turunmaan sairaala (TMS )	TMS,KIRURGIN VASTAANOTTO (ÅKIR/4)	TMS,kirurgin vastaanotto 4	1	TMSova      	TMS         	+KIR/4      	+KIR/4      
Turunmaan sairaala	Turunmaan sairaala (TMS )	TMS/kirurgia	TMS,kirurgin vastaanotto 5	1	TMS         	TMS         	TMSKIR      	+KIR/5      
Turunmaan ova	Turunmaan sairaala (TMS )	TMS,KIRURGIN VASTAANOTTO (ÅKIR/5)	TMS,kirurgin vastaanotto 5	1	TMSova      	TMS         	+KIR/5      	+KIR/5      
Turunmaan ova	Turunmaan sairaala (TMS )	TMS,KIRURGIN VASTAANOTTO (ÅKIR/6)	TMS,kirurgin vastaanotto 6	1	TMSova      	TMS         	+KIR/6      	+KIR/6      
Turunmaan sairaala	Turunmaan sairaala (TMS )	TMS/kirurgia	TMS,kirurgin vastaanotto 6	1	TMS         	TMS         	TMSKIR      	+KIR/6      
Turunmaan sairaala	Turunmaan sairaala (TMS )	TMS/kirurgia	TMS,kirurgin vastaanotto 7	1	TMS         	TMS         	TMSKIR      	+KIR/7      
Turunmaan sairaala	Turunmaan sairaala (TMS )	TMS/kirurgia	TMS,kirurgin vastaanotto 8	1	TMS         	TMS         	TMSKIR      	+KIR/8      
Turunmaan ova	Turunmaan sairaala (TMS )	TMS,KIRURGIN VASTAANOTTO (ÅKIR/8)	TMS,kirurgin vastaanotto 8	1	TMSova      	TMS         	+KIR/8      	+KIR/8      
Turunmaan sairaala	Turunmaan sairaala (TMS )	TMS/korva-, nenä- ja kurkkut.	ÅKOR-korva/nenä/kurkkutaut.pkl	1	TMS         	TMS         	TMSKOR      	+KOR        
Turunmaan ova	Turunmaan sairaala (TMS )	ÅKOR-korva/nenä/kurkkutaut.pkl	ÅKOR-korva/nenä/kurkkutaut.pkl	1	TMSova      	TMS         	+KOR        	+KOR        
Turunmaan sairaala	Turunmaan sairaala (TMS )	TMS/korva-, nenä- ja kurkkut.	ÅKOR/1-korva-nenä-kurkkul.vo	1	TMS         	TMS         	TMSKOR      	+KOR/1      
Turunmaan ova	Turunmaan sairaala (TMS )	ÅKOR/1-korva-nenä-kurkkul.vo	ÅKOR/1-korva-nenä-kurkkul.vo	1	TMSova      	TMS         	+KOR/1      	+KOR/1      
Turunmaan ova	Turunmaan sairaala (TMS )	ÅKOR/2-korva-nenä-kurkku vo ÅS	ÅKOR/2-korva-nenä-kurkku vo ÅS	1	TMSova      	TMS         	+KOR/2      	+KOR/2      
Turunmaan sairaala	Turunmaan sairaala (TMS )	TMS/korva-, nenä- ja kurkkut.	ÅKOR/4-korva-nenä-kurkkul.vo	1	TMS         	TMS         	TMSKOR      	+KOR/4      
Turunmaan ova	Turunmaan sairaala (TMS )	ÅKOR/4-korva-nenä-kurkkul.vo	ÅKOR/4-korva-nenä-kurkkul.vo	1	TMSova      	TMS         	+KOR/4      	+KOR/4      
Turunmaan ova	Turunmaan sairaala (TMS )	ÅKOS-kirurgian os, TMS	ÅKOS-kirurgian os, TMS	1	TMSova      	TMS         	+KOS        	+KOS        
Turunmaan sairaala	Turunmaan sairaala (TMS )	TMS/kirurgia	ÅKOS-kirurgian os, TMS	1	TMS         	TMS         	TMSKIR      	+KOS        
Muut	Sairaala	ÅLAND	Ahvenanmaan keskussairaala	0	MUUT        	SAIR        	+LAND       	+LAND       
Turunmaan sairaala	Turunmaan sairaala (TMS )	TMS/lastentaudit	ÅLAS-lastentautien pkl, TMS	1	TMS         	TMS         	TMSLAS      	+LAS        
Turunmaan ova	Turunmaan sairaala (TMS )	ÅLAS-lastentautien pkl, TMS	ÅLAS-lastentautien pkl, TMS	1	TMSova      	TMS         	+LAS        	+LAS        
Turunmaan ova	Turunmaan sairaala (TMS )	ÅLAS/1-lastenlääkärin vo, TMS	ÅLAS/1-lastenlääkärin vo, TMS	1	TMSova      	TMS         	+LAS/1      	+LAS/1      
Turunmaan sairaala	Turunmaan sairaala (TMS )	TMS/lastentaudit	ÅLAS/1-lastenlääkärin vo, TMS	1	TMS         	TMS         	TMSLAS      	+LAS/1      
Turunmaan ova	Turunmaan sairaala (TMS )	ÅLAS/2-lastenlääkärin vo, TMS	ÅLAS/2-lastenlääkärin vo, TMS	1	TMSova      	TMS         	+LAS/2      	+LAS/2      
Turunmaan sairaala	Turunmaan sairaala (TMS )	TMS/lastentaudit	ÅLAS/2-lastenlääkärin vo, TMS	1	TMS         	TMS         	TMSLAS      	+LAS/2      
Turunmaan sairaala	Turunmaan sairaala (TMS )	TMS/lastentaudit	ÅLAS/3-lastenlääkäri, TMS	1	TMS         	TMS         	TMSLAS      	+LAS/3      
Turunmaan ova	Turunmaan sairaala (TMS )	ÅLAS/3-lastenlääkäri, TMS	ÅLAS/3-lastenlääkäri, TMS	1	TMSova      	TMS         	+LAS/3      	+LAS/3      
Turunmaan ova	Turunmaan sairaala (TMS )	ÅLAS/4-prick-testit, TMS	ÅLAS/4-prick-testit, TMS	1	TMSova      	TMS         	+LAS/4      	+LAS/4      
Turunmaan sairaala	Turunmaan sairaala (TMS )	TMS/lastentaudit	ÅLAS/4-prick-testit, TMS	1	TMS         	TMS         	TMSLAS      	+LAS/4      
Muut	Yksityinen	ÅPRIVÅS-TMS,privaatti ÅS	ÅPRIVÅS-TMS,privaatti ÅS	0	MUUT        	YKSIT       	+PRIV+      	+PRIV+      
Yksityinen	Yksityinen	Yksityinen	ÅPRIVÅS-TMS,privaatti ÅS	0	YKSIT       	YKSIT       	YKSIT       	+PRIV+      
Muut	Yksityinen	ÅPRIVULK-TMS,privaatti ulkop.	ÅPRIVULK-TMS,privaatti ulkop.	0	MUUT        	YKSIT       	+PRIVU      	+PRIVU      
Yksityinen	Yksityinen	Yksityinen	ÅPRIVULK-TMS,privaatti ulkop.	0	YKSIT       	YKSIT       	YKSIT       	+PRIVU      
Turunmaan ova	Turunmaan sairaala (TMS )	149-ÅS-röntgen	149-ÅS-röntgen (ÅRTG )	1	TMSova      	TMS         	+RTG        	+RTG        
Turunmaan ova	Turunmaan sairaala (TMS )	ÅSIS/10-hoitajan vo, TMS	ÅSIS/10-hoitajan vo, TMS	1	TMSova      	TMS         	+SI/10      	+SI/10      
Turunmaan ova	Turunmaan sairaala (TMS )	ÅSIL-silmätautien pkl, TMS	ÅSIL-silmätautien pkl, TMS	1	TMSova      	TMS         	+SIL        	+SIL        
Turunmaan sairaala	Turunmaan sairaala (TMS )	TMS/silmätaudit	ÅSIL-silmätautien pkl, TMS	1	TMS         	TMS         	TMSSIL      	+SIL        
Turunmaan sairaala	Turunmaan sairaala (TMS )	TMS/sisätaudit	ÅSIS-sisätautipkl, TMS	1	TMS         	TMS         	TMSSIS      	+SIS        
Turunmaan ova	Turunmaan sairaala (TMS )	ÅSIS-sisätautipkl, TMS	ÅSIS-sisätautipkl, TMS	1	TMSova      	TMS         	+SIS        	+SIS        
Turunmaan sairaala	Turunmaan sairaala (TMS )	TMS/sisätaudit	ÅSIS/1-sisätautilääk. vo, TMS	1	TMS         	TMS         	TMSSIS      	+SIS/1      
Turunmaan ova	Turunmaan sairaala (TMS )	ÅSIS/1-sisätautilääk. vo, TMS	ÅSIS/1-sisätautilääk. vo, TMS	1	TMSova      	TMS         	+SIS/1      	+SIS/1      
Turunmaan ova	Turunmaan sairaala (TMS )	ÅSIS/2-sisätautilääk. vo, TMS	ÅSIS/2-sisätautilääk. vo, TMS	1	TMSova      	TMS         	+SIS/2      	+SIS/2      
Turunmaan sairaala	Turunmaan sairaala (TMS )	TMS/sisätaudit	ÅSIS/2-sisätautilääk. vo, TMS	1	TMS         	TMS         	TMSSIS      	+SIS/2      
Turunmaan sairaala	Turunmaan sairaala (TMS )	TMS/sisätaudit	ÅSIS/3-sisätautilääk. vo, TMS	1	TMS         	TMS         	TMSSIS      	+SIS/3      
Turunmaan ova	Turunmaan sairaala (TMS )	ÅSIS/3-sisätautilääk. vo, TMS	ÅSIS/3-sisätautilääk. vo, TMS	1	TMSova      	TMS         	+SIS/3      	+SIS/3      
Turunmaan ova	Turunmaan sairaala (TMS )	ÅSIS/4-sisätautilääk. vo, TMS	ÅSIS/4-sisätautilääk. vo, TMS	1	TMSova      	TMS         	+SIS/4      	+SIS/4      
Turunmaan sairaala	Turunmaan sairaala (TMS )	TMS/sisätaudit	ÅSIS/4-sisätautilääk. vo, TMS	1	TMS         	TMS         	TMSSIS      	+SIS/4      
Turunmaan ova	Turunmaan sairaala (TMS )	ÅSIS/5-sisätautilääk. vo, TMS	ÅSIS/5-sisätautilääk. vo, TMS	1	TMSova      	TMS         	+SIS/5      	+SIS/5      
Turunmaan sairaala	Turunmaan sairaala (TMS )	TMS/sisätaudit	ÅSIS/5-sisätautilääk. vo, TMS	1	TMS         	TMS         	TMSSIS      	+SIS/5      
Turunmaan ova	Turunmaan sairaala (TMS )	ÅSIS/6-sisätautilääk. vo, TMS	ÅSIS/6-sisätautilääk. vo, TMS	1	TMSova      	TMS         	+SIS/6      	+SIS/6      
Turunmaan sairaala	Turunmaan sairaala (TMS )	TMS/sisätaudit	ÅSIS/6-sisätautilääk. vo, TMS	1	TMS         	TMS         	TMSSIS      	+SIS/6      
Turunmaan sairaala	Turunmaan sairaala (TMS )	TMS/sisätaudit	ÅSIS/7-sisätautilääk. vo, TMS	1	TMS         	TMS         	TMSSIS      	+SIS/7      
Turunmaan ova	Turunmaan sairaala (TMS )	ÅSIS/7-sisätautilääk. vo, TMS	ÅSIS/7-sisätautilääk. vo, TMS	1	TMSova      	TMS         	+SIS/7      	+SIS/7      
Turunmaan ova	Turunmaan sairaala (TMS )	ÅSIS/8-sisätautilääk. vo, TMS	ÅSIS/8-sisätautilääk. vo, TMS	1	TMSova      	TMS         	+SIS/8      	+SIS/8      
Turunmaan ova	Turunmaan sairaala (TMS )	ÅSIS/9-sisätautilääk. vo, TMS	ÅSIS/9-sisätautilääk. vo, TMS	1	TMSova      	TMS         	+SIS/9      	+SIS/9      
Turunmaan sairaala	Turunmaan sairaala (TMS )	TMS/sisätaudit	ÅSIS/9-sisätautilääk. vo, TMS	1	TMS         	TMS         	TMSSIS      	+SIS/9      
Turunmaan ova	Turunmaan sairaala (TMS )	ÅSIS/11-sisätautilääk. vo, TMS	ÅSIS/11-sisätautilääk. vo, TMS	1	TMSova      	TMS         	+SIS11      	+SIS11      
Turunmaan sairaala	Turunmaan sairaala (TMS )	TMS/sisätaudit	ÅSIS/11-sisätautilääk. vo, TMS	1	TMS         	TMS         	TMSSIS      	+SIS11      
Turunmaan sairaala	Turunmaan sairaala (TMS )	TMS/sisätaudit	ÅSIS/12-diabeteshoitajan vo	1	TMS         	TMS         	TMSSIS      	+SIS12      
Turunmaan ova	Turunmaan sairaala (TMS )	ÅTONÅRP-tonårspolikl. folkhäls	ÅTONÅRP-tonårspolikl. folkhäls	1	TMSova      	TMS         	+TON+P      	+TON+P      
Konservatiivisen hoidon tr	Sisätautien tulosyksikkö	011-sis.osasto	011-sisätautios	1	KO-HTR      	KO-SIS      	011         	011         
TYKS	Kantasairaala	011-sis.osasto	011-sisätautios	1	TYKS        	KANTA       	011         	011         
TYKS	TYKS/A-sairaala	011-sis.osasto	011-sisätautios	1	TYKS        	TYKSA       	011         	011         
TYKS	Kantasairaala	011-sis.osasto	011/10-avohoito	1	TYKS        	KANTA       	011         	011/10      
TYKS	Kantasairaala	011-sis.osasto	011/VA-valvonta	1	TYKS        	KANTA       	011         	011/VA      
TYKS	TYKS/A-sairaala	011-sis.osasto	011/VA-valvonta	1	TYKS        	TYKSA       	011         	011/VA      
Konservatiivisen hoidon tr	Sisätautien tulosyksikkö	011-sis.osasto	011/VA-valvonta	1	KO-HTR      	KO-SIS      	011         	011/VA      
Konservatiivisen hoidon tr	Sisätautien tulosyksikkö	012-sis.osasto	012-sisätautios	1	KO-HTR      	KO-SIS      	012         	012         
TYKS	Kantasairaala	012-sis.osasto	012-sisätautios	1	TYKS        	KANTA       	012         	012         
TYKS	TYKS/A-sairaala	012-sis.osasto	012-sisätautios	1	TYKS        	TYKSA       	012         	012         
Konservatiivisen hoidon tr	Sisätautien tulosyksikkö	013-sis.osasto	013-sisätautios	1	KO-HTR      	KO-SIS      	013         	013         
TYKS	TYKS/T-sairaala	013-sis.osasto	013-sisätautios	1	TYKS        	TYKST       	013         	013         
TYKS	Kantasairaala	013-sis.osasto	013-sisätautios	1	TYKS        	KANTA       	013         	013         
TYKS	TYKS/T-sairaala	013-sis.osasto	013/10	1	TYKS        	TYKST       	013         	013/10      
TYKS	Kantasairaala	013-sis.osasto	013/10	1	TYKS        	KANTA       	013         	013/10      
Konservatiivisen hoidon tr	Sisätautien tulosyksikkö	013-sis.osasto	013/10	1	KO-HTR      	KO-SIS      	013         	013/10      
TYKS	Kantasairaala	014-sis.osasto	014-sisätautios	1	TYKS        	KANTA       	014         	014         
Konservatiivisen hoidon tr	Sisätautien tulosyksikkö	014-sis.osasto	014-sisätautios	1	KO-HTR      	KO-SIS      	014         	014         
TYKS	TYKS/U-sairaala	014-sis.osasto	014-sisätautios	1	TYKS        	TYKSU       	014         	014         
Konservatiivisen hoidon tr	Sisätautien tulosyksikkö	014-sis.osasto	014/10-os:lla käyvät pkl pot.	1	KO-HTR      	KO-SIS      	014         	014/10      
TYKS	TYKS/U-sairaala	014-sis.osasto	014/10-os:lla käyvät pkl pot.	1	TYKS        	TYKSU       	014         	014/10      
TYKS	Kantasairaala	015-sis.osasto	015-sisätautios	1	TYKS        	KANTA       	015         	015         
Konservatiivisen hoidon tr	Sisätautien tulosyksikkö	015-sis.osasto	015-sisätautios	1	KO-HTR      	KO-SIS      	015         	015         
TYKS	TYKS/U-sairaala	015-sis.osasto	015-sisätautios	1	TYKS        	TYKSU       	015         	015         
Konservatiivisen hoidon tr	Sisätautien tulosyksikkö	015-sis.osasto	015/01-LYS-potilaat	1	KO-HTR      	KO-SIS      	015         	015/01      
TYKS	TYKS/U-sairaala	015-sis.osasto	015/01-LYS-potilaat	1	TYKS        	TYKSU       	015         	015/01      
TYKS	Kantasairaala	015-sis.osasto	015/01-LYS-potilaat	1	TYKS        	KANTA       	015         	015/01      
Konservatiivisen hoidon tr	Sisätautien tulosyksikkö	015-sis.osasto	015/10-os:lla käyvät pkl pot.	1	KO-HTR      	KO-SIS      	015         	015/10      
TYKS	Kantasairaala	015-sis.osasto	015/OM-omaistutkimukset	1	TYKS        	KANTA       	015         	015/OM      
Konservatiivisen hoidon tr	Sisätautien tulosyksikkö	015-sis.osasto	015/OM-omaistutkimukset	1	KO-HTR      	KO-SIS      	015         	015/OM      
TYKS	TYKS/U-sairaala	015-sis.osasto	015/OM-omaistutkimukset	1	TYKS        	TYKSU       	015         	015/OM      
TYKS	Kantasairaala	016-sis.osasto	016-munuaisos	1	TYKS        	KANTA       	016         	016         
TYKS	TYKS/U-sairaala	016-sis.osasto	016-munuaisos	1	TYKS        	TYKSU       	016         	016         
Konservatiivisen hoidon tr	Sisätautien tulosyksikkö	016-sis.osasto	016-munuaisos	1	KO-HTR      	KO-SIS      	016         	016         
TYKS	Kantasairaala	016-sis.osasto	016/01-osaston näyttäjät	1	TYKS        	KANTA       	016         	016/01      
TYKS	TYKS/Paimion sairaala	017-sis.osasto	017-sisätautios (Paimio)	1	TYKS        	TYKSPA      	017         	017         
TYKS	PAIMION SAIRAALA	017-sis.osasto	017-sisätautios (Paimio)	1	TYKS        	PAIMIO      	017         	017         
Konservatiivisen hoidon tr	Sisätautien tulosyksikkö	017-sis.osasto	017-sisätautios (Paimio)	1	KO-HTR      	KO-SIS      	017         	017         
TYKS	TYKS/Paimion sairaala	017-sis.osasto	017/10-avohoitopotilaat	1	TYKS        	TYKSPA      	017         	017/10      
Konservatiivisen hoidon tr	Sisätautien tulosyksikkö	017-sis.osasto	017/10-avohoitopotilaat	1	KO-HTR      	KO-SIS      	017         	017/10      
TYKS	PAIMION SAIRAALA	017-sis.osasto	017/10-avohoitopotilaat	1	TYKS        	PAIMIO      	017         	017/10      
TYKS	PAIMION SAIRAALA	017-sis.osasto	017/11-reumaortopedinen vo	1	TYKS        	PAIMIO      	017         	017/11      
Konservatiivisen hoidon tr	Sisätautien tulosyksikkö	017-sis.osasto	017/11-reumaortopedinen vo	1	KO-HTR      	KO-SIS      	017         	017/11      
TYKS	TYKS/Paimion sairaala	017-sis.osasto	017/11-reumaortopedinen vo	1	TYKS        	TYKSPA      	017         	017/11      
Konservatiivisen hoidon tr	Sisätautien tulosyksikkö	017-sis.osasto	017/12-reumaortopedinen vo	1	KO-HTR      	KO-SIS      	017         	017/12      
Konservatiivisen hoidon tr	Sisätautien tulosyksikkö	017-sis.osasto	017/13-ortopedian pkl 13	1	KO-HTR      	KO-SIS      	017         	017/13      
Konservatiivisen hoidon tr	Sisätautien tulosyksikkö	017-sis.osasto	017/14-ortopedian pkl 14	1	KO-HTR      	KO-SIS      	017         	017/14      
Konservatiivisen hoidon tr	Sisätautien tulosyksikkö	017-sis.osasto	017/16-ortopedian pkl 16	1	KO-HTR      	KO-SIS      	017         	017/16      
Konservatiivisen hoidon tr	Sisätautien tulosyksikkö	017-sis.osasto	017/END-endoproteesihoit. vo	1	KO-HTR      	KO-SIS      	017         	017/EN      
TYKS	TYKS/Paimion sairaala	017-sis.osasto	017/REU-konserv. potilaat	1	TYKS        	TYKSPA      	017         	017/RE      
Konservatiivisen hoidon tr	Sisätautien tulosyksikkö	017-sis.osasto	017/REU-konserv. potilaat	1	KO-HTR      	KO-SIS      	017         	017/RE      
Konservatiivisen hoidon tr	Sisätautien tulosyksikkö	017-sis.osasto	017/RORT-ortopediset potilaat	1	KO-HTR      	KO-SIS      	017         	017/RO      
Konservatiivisen hoidon tr	Sisätautien tulosyksikkö	017-sis.osasto	017/SH-sairaanhoitajan vo	1	KO-HTR      	KO-SIS      	017         	017/SH      
Konservatiivisen hoidon tr	Sisätautien tulosyksikkö	018-sis.osasto	018-sisätautios (Paimio)	1	KO-HTR      	KO-SIS      	018         	018         
TYKS	TYKS/Paimion sairaala	018-sis.osasto	018-sisätautios (Paimio)	1	TYKS        	TYKSPA      	018         	018         
TYKS	PAIMION SAIRAALA	018-sis.osasto	018-sisätautios (Paimio)	1	TYKS        	PAIMIO      	018         	018         
TYKS	TYKS/Paimion sairaala	018-sis.osasto	018/01-avohoitokäynnit	1	TYKS        	TYKSPA      	018         	018/01      
Konservatiivisen hoidon tr	Sisätautien tulosyksikkö	018-sis.osasto	018/01-avohoitokäynnit	1	KO-HTR      	KO-SIS      	018         	018/01      
TYKS	TYKS/Paimion sairaala	018-sis.osasto	018/04-pkl-potilaat	1	TYKS        	TYKSPA      	018         	018/04      
Konservatiivisen hoidon tr	Sisätautien tulosyksikkö	018-sis.osasto	018/04-pkl-potilaat	1	KO-HTR      	KO-SIS      	018         	018/04      
TYKS	PAIMION SAIRAALA	018-sis.osasto	018/04-pkl-potilaat	1	TYKS        	PAIMIO      	018         	018/04      
TYKS	PAIMION SAIRAALA	018-sis.osasto	018/10-avohoitopotilaat	1	TYKS        	PAIMIO      	018         	018/10      
TYKS	TYKS/Paimion sairaala	018-sis.osasto	018/10-avohoitopotilaat	1	TYKS        	TYKSPA      	018         	018/10      
Konservatiivisen hoidon tr	Sisätautien tulosyksikkö	018-sis.osasto	018/10-avohoitopotilaat	1	KO-HTR      	KO-SIS      	018         	018/10      
TYKS	TYKS/Paimion sairaala	018-sis.osasto	018/11-reumatologian el:n vo	1	TYKS        	TYKSPA      	018         	018/11      
TYKS	PAIMION SAIRAALA	018-sis.osasto	018/11-reumatologian el:n vo	1	TYKS        	PAIMIO      	018         	018/11      
Konservatiivisen hoidon tr	Sisätautien tulosyksikkö	018-sis.osasto	018/11-reumatologian el:n vo	1	KO-HTR      	KO-SIS      	018         	018/11      
TYKS	TYKS/Paimion sairaala	018-sis.osasto	018/13-osaston ylilääkärin vo	1	TYKS        	TYKSPA      	018         	018/13      
